Eye_Gaze_Hands,Neuro_Gaze,VR_Controllers
15.9934283060225,31.97216,7.86582518200148
16.2953770762014,29.58683,7.84838649269582
18.0460597128161,25.2082,7.8506643138509
14.3028,33.1432,8.996142
12.43131,36.93729,8.774162
12.92966,36.32389,9.026686
15.7227912110168,22.70405,7.14246358246487
18.0760731329319,20.29213,7.1095320419432
14.9283479217801,26.94828,8.61872376222379
12.2025182367883,22.31244,8.56997732388532
14.4836304029273,31.10075,8.77816971495566
15.9219112308406,23.94973,8.08044817173517
14.3145709669465,31.66554,7.87700275470532
13.3954454615568,23.56312,7.57227741772362
14.677428576668,32.36418,7.62706480334266
17.8670309745798,27.70915,7.30706127547296
17.1315874170986,31.59748,8.98713328745508
10.0024817167226,33.05642,8.4511067754212
16.7750232288325,32.73227,8.39362550737675
14.4601324618486,22.68344,7.00715877812616
15.1312983162225,20.81545,8.05522447447526
11.7850335308775,25.42308,7.91279151648877
15.3692677170646,24.13101,8.42416003120455
15.5197655884968,27.95,8.24807060085021
16.55341,24.58878,7.686588
14.2846,24.56712,7.365291
12.6148,21.67612,8.214407
12.91588,23.74849,9.062398
11.87455,23.34937,7.626289
13.99255,27.84745,7.822935
22.96513,28.26052,10.13552
22.70432,27.97216,9.896711
15.93953,29.58683,10.94395
14.34269,28.2082,15.66433
13.65171,40.97379,17.63568
16.67652,23.69742,14.90766
13.71021,41.72104,12.61269
13.30829,25.75308,10.20179
16.03967,23.45956,11.92529
15.2218451794197,41.73496,8.11227581625396
14.4166125004134,32.68312,7.04311982565236
13.7965867755412,22.13629,8.80518909986089
15.1333145570172,35.99358,7.32542945456128
14.6474286761485,68.4381,7.98475850275504
17.4017855438991,73.60508,7.42181440090901
13.7530452100301,49.2201,7.64807926196461
11.983693420905,41.4381,7.80870002998286
17.1992939515696,43.60508,7.05747601349636
16.0167224805307,49.2201,10.7804756048232
15.5676566632476,30.1432,10.5988911633004
16.9137937869598,32.93729,9.03536564572623
13.4237658920439,29.32389,11.1119969960533
