Participant_ID,Neuro_Gaze,Eye_Gaze_Hands,VR_Controllers
1.csv,28.922396666666668,16.778288365013335,7.854958662849399
10.csv,35.46812666666667,13.221256666666669,8.93233
11.csv,23.31482,16.24240408857627,7.623573128877287
12.csv,25.78764,14.202686623518735,8.476198403525382
13.csv,29.197613333333333,14.1291483350571,7.692114991923866
14.csv,30.787683333333334,15.000366702800337,8.248433779449742
15.csv,24.831576,15.455484668967864,7.81866958665939
16.csv,26.48578,14.695463252945476,8.195007382847843
2.csv,28.58906333333333,14.48427,7.755428666666667
3.csv,35.464083333333335,12.92766,8.170540666666668
4.csv,30.315866666666665,20.536326666666664,10.325393666666663
5.csv,30.270996666666672,14.890306666666666,16.069223333333333
6.csv,63.75442666666667,14.352723333333335,11.579923333333335
7.csv,44.75442666666667,14.478348151791437,7.986861580589069
8.csv,30.80146,15.727509592354934,7.577334119408444
9.csv,39.13479333333333,14.3120108608349,7.504751768481277
